Heat_Number,Date,BOF Grade Code,Hot Metal Addn. Weight,Scrap Addn. Weight,Lime Into Converter,Dolomite Into Converter,Lime Into Ladle,Iron Ore Into Converter,SIMN Into Ladle,FESI Into Ladle,FEMN Into Ladle,Measered O2 Mainblow II,Duration of Mainblow I/II,Measered O2 2nd Blow,HM_P,HM_S,HM_Si,Total_FA_Ladle,HM_Ratio,O2_per_ton_HM,Lime_Dolo_Ratio,SiMn_FA_Fraction,Grade_Encoded,C,Mn,P,S,Si
23100041,2023-04-02,2062BK1,126.44,7.68,9786.0,1869.0,785.0,4089.0,1666.0,275.0,0.0,6383.0,1386.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1941.0,0.9427378466974148,50.48244226470672,5.235955056176974,0.858320453374107,6,0.21,0.83,0.02,0.028,0.19
23200028,2023-04-02,2062BK1,127.42,7.48,9282.0,1503.0,1012.0,3066.0,1667.0,314.0,229.0,6468.0,1103.0,171.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2210.0,0.9445515196371791,50.76126196789545,6.175648702590702,0.7542986425335954,6,0.19,0.83,0.018,0.032,0.2
23200026,2023-04-02,2062BK1,126.87,8.29,9675.0,2061.0,1009.0,3027.0,1657.0,327.0,273.0,6264.0,1005.0,368.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2257.0,0.9386652855805072,49.373374319781085,4.694323144102526,0.7341603898977695,6,0.21,0.82,0.024,0.027,0.2
23200080,2023-04-02,2062BK1,126.9,6.56,9606.0,1125.0,946.0,4313.0,1684.0,304.0,243.0,6806.0,1261.0,189.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2231.0,0.9508466956320183,53.632781717465456,8.538666666659077,0.7548184670547939,6,0.2,0.83,0.022,0.021,0.21
23100084,2023-04-02,C20MMNC(BSP),131.46,7.87,10713.0,1974.0,756.0,3083.0,1692.0,271.0,0.0,6408.0,1082.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1963.0,0.9435153950983743,48.74486535791309,5.427051671729774,0.8619460010184096,43,0.2,0.8,0.031,0.018,0.21
23100099,2023-04-02,C20MMNC(BSP),124.35,7.43,9927.0,2364.0,823.0,4047.0,1722.0,244.0,0.0,6675.0,1051.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1966.0,0.9436181514574016,53.67913148328364,4.199238578678426,0.8758901322477742,43,0.2,0.75,0.016,0.019,0.19
23300034,2023-04-02,2062BK1,120.97,9.15,8955.0,1758.0,743.0,3249.0,1758.0,247.0,0.0,6411.0,1006.0,401.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2005.0,0.9296802951050593,52.99661072949494,5.093856655287205,0.876807980049438,6,0.21,0.87,0.03,0.035,0.19
23300098,2023-04-02,JIS540RC2ALK,131.39,0.0,10455.0,2289.0,799.0,4418.0,1712.0,0.0,604.0,6044.0,954.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2316.0,0.9999999999923892,46.00045665540757,4.567496723458031,0.7392055267699744,62,0.22,1.4,0.035,0.016,0.26
23300089,2023-04-02,2062BK1,118.77,10.93,9939.0,2067.0,749.0,3312.0,1772.0,318.0,0.0,5952.0,1012.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2090.0,0.9157286044647979,50.11366506651416,4.808417997094916,0.8478468899517474,6,0.22,0.93,0.014,0.023,0.24
23300086,2023-04-02,2062BK1,118.3,9.27,9717.0,2220.0,762.0,3407.0,1739.0,285.0,0.0,6102.0,1039.0,272.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2024.0,0.9273340126916412,51.58072696490633,4.377027027025055,0.8591897233197336,6,0.22,0.79,0.015,0.021,0.18
23300082,2023-04-02,2062BK1,127.13,7.08,10557.0,2031.0,740.0,3641.0,1824.0,282.0,0.0,6207.0,1054.0,278.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2106.0,0.947246851941381,48.82403838552015,5.197932053173216,0.8660968660964549,6,0.21,0.78,0.015,0.021,0.2
23300076,2023-04-02,ASP1239,124.13,9.48,10557.0,2220.0,856.0,3834.0,1169.0,266.0,0.0,6356.0,1182.0,334.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1435.0,0.9290472269970135,51.20438250180291,4.7554054054032635,0.8146341463408957,24,0.46,0.75,0.015,0.02,0.26
